SOURCE: res.md

RESTAURANT: King Croissant
  CATEGORY: كعكة طرابلسية / Tripoli Kaak
    - Tomato & Onion \- Extra (بندورة وبصل \- اكسترا) | 2.20
    - Tomato, Onion & Cheese \- Regular (بندورة وبصل وجبنة \- عادي) | 3.35
    - Tomato, Onion & Cheese \- Extra (بندورة وبصل وجبنة \- اكسترا) | 3.90
    - Tomato, Onion & Bulgari \- Regular (بندورة وبصل وبلغاري \- عادي) | 3.35
    - Tomato, Onion & Bulgari \- Extra (بندورة وبصل وبلغاري \- اكسترا) | 3.90
    - Tomato, Onion & Zaatar \- Regular (بندورة وبصل وزعتر \- عادي) | 1.65
    - Tomato, Onion & Zaatar \- Extra (بندورة وبصل وزعتر \- اكسترا) | 1.65
    - Labneh Mix \- Regular (خلطة اللبنة \- عادي) | 1.65
    - Labneh Mix \- Extra (خلطة اللبنة \- اكسترا) | 2.20
    - Keshek Mix \- Regular (خلطة الكشك \- عادي) | 1.65
    - Keshek Mix \- Extra (خلطة الكشك \- اكسترا) | 2.20
    - Zaatar w/ Molasses \- Regular (زعتر مع دبس الرمان \- عادي) | 0.90
    - Zaatar w/ Molasses \- Extra (زعتر مع دبس الرمان \- اكسترا) | 1.00
    - Zaatar Baladi \- Regular (زعتر بلدي \- عادي) | 0.80
    - Zaatar Baladi \- Extra (زعتر بلدي \- اكسترا) | 0.90
    - Extra Mushroom/Corn (زيادة فطر/ذرة) | 0.55
    - Meat Pie (Lahm Baajin) \- Regular (لحمة بعجين \- عادي) | 2.80
    - Meat Pie (Lahm Baajin) \- Extra (لحمة بعجين \- اكسترا) | 3.35
    - Kafta / Kafta w Cheese \- Regular (كفتة / كفتة مع جبنة \- عادي) | 3.35
    - Kafta / Kafta w Cheese \- Extra (كفتة / كفتة مع جبنة \- اكسترا) | 3.90
    - Mortadella w Cheese \- Regular (مرتديلا وجبنة \- عادي) | 3.35
    - Mortadella w Cheese \- Extra (مرتديلا وجبنة \- اكسترا) | 3.90
    - Sojok w Cheese \- Regular (سجق وجبنة \- عادي) | 3.35
    - Sojok w Cheese \- Extra (سجق وجبنة \- اكسترا) | 3.90
    - Awarma w Cheese \- Regular (قاورما وجبنة \- عادي) | 3.90
    - Awarma w Cheese \- Extra (قاورما وجبنة \- اكسترا) | 4.45
    - Tawook w Cheese \- Regular (طاووق وجبنة \- عادي) | 3.90
    - Tawook w Cheese \- Extra (طاووق وجبنة \- اكسترا) | 4.45
    - Fajita w Cheese \- Regular (فاهيتا وجبنة \- عادي) | 3.90
    - Fajita w Cheese \- Extra (فاهيتا وجبنة \- اكسترا) | 4.45
    - Pizza Mortadella \- Regular (بيتزا مرتديلا \- عادي) | 5.00
    - Pizza Mortadella \- Extra (بيتزا مرتديلا \- اكسترا) | 5.55
    - Pizza Sojok \- Regular (بيتزا سجق \- عادي) | 5.00
    - Pizza Sojok \- Extra (بيتزا سجق \- اكسترا) | 5.55
    - Pizza Awarma \- Regular (بيتزا قاورما \- عادي) | 5.55
    - Pizza Awarma \- Extra (بيتزا قاورما \- اكسترا) | 6.65
    - Pizza Pepperoni \- Regular (بيتزا ببروني \- عادي) | 5.00
    - Pizza Pepperoni \- Extra (بيتزا ببروني \- اكسترا) | 5.55
    - Pizza Tuna \- Regular (بيتزا تونا \- عادي) | 5.00
    - Pizza Tuna \- Extra (بيتزا تونا \- اكسترا) | 6.10
    - Pizza Veggie \- Regular (بيتزا خضار \- عادي) | 4.45
    - Pizza Veggie \- Extra (بيتزا خضار \- اكسترا) | 5.00
    - Zaatar w Cheese (زعتر وجبنة) | 3.90
    - Spinach (سبانخ) | 3.90
    - Cheese (جبنة) | 4.45
    - Keshek (كشك) | 3.90
    - Pizza (بيتزا) | 5.00
    - Meat (لحمة) | 5.00
    - Mixed Pastries (معجنات مشكل) | 4.45
    - Soft Drinks (مشروبات غازية) | 0.90
    - Laban (لبن) | 0.90
    - Juice (عصير) | 0.90
    - Water (مياه) | 0.35
    - Bon Jus (بون جوس) | 0.35

RESTAURANT: BOUDI SANDWICH

RESTAURANT: KAAKÉ by meat chop
    - Zaatar | 1.00
    - Keshek | 1.65
    - Bandoura w bassal | 1.00
    - Keshek w jebneh | 2.45
    - Keshek w awarma w jebneh | 4.00
    - Jebneh 3ekawi | 2.00
    - 3ekawi w mozzarella | 2.45
    - Jebeneh 3 cheese | 2.75
    - 4 cheese | 3.35
    - Jebneh Bolghari | 2.00
    - Cheese & Ships | 3.00
    - Haloum pesto | 3.35
    - Labni | 1.65
    - Labni w zaatar | 2.00
    - Labni Harra | 2.00
    - Jebni w zaatar | 2.00
    - Picon | 2.20
    - Basterma w jebneh | 4.90
    - Basterma w eggs | 4.90
    - Sojok w jebneh | 4.90
    - Sojok w eggs | 4.90
    - Kafta w jebneh | 4.90
    - 2awarma w jebneh | 4.90
    - 2awarma w eggs | 4.90
    - Kaaki Burger | 4.90
    - Rosto | 4.90
    - Turkey cheese | 3.35
    - Fajitas | 4.35
    - Pepperoni | 4.90
    - Chicken sub | 4.35
    - Tawook | 4.35
    - Nutella banana or strawberry | 3.00
    - Nutella halewi w banana | 3.55
    - Soft drinks | 1.65
    - Water | 0.55
    - Sparkling Water | 1.65
    - Ice tea | 1.65

RESTAURANT: Bayt Al Nar \- House of Fire
    - Jebneh (Cheese) | 1.65
    - Zaatar | 0.55
    - Keshek | 1.45
    - Bassal w Bandoura | 1.35
    - Mortadella | 2.00
    - Sojok | 2.20
    - Tawook | 3.35
    - Fajita | 3.35
    - Habash (Turkey) | 2.75
    - Pepperoni | 2.75
    - Noss b Noss (Half & Half) | 1.45
    - Awarma | 3.35
    - Labneh w Khodra | 1.65
    - Labneh Khalta | 1.65
    - Bassal w Bandoura w Jebneh | 2.20
    - Lahmeh (Meat) | 2.75
    - Halloumi | 1.75
    - Halloumi w Kashkaval | 2.75
    - Bacon | 2.00
    - Akkawi w Kashkaval | 2.75
    - Raghif Jebneh (Cheese Loaf) | 1.90
    - Keshek w Jebneh | 2.20
    - Muhammara | 1.35
    - Muhammara w Jebneh | 2.20
    - Bulghari w Zaytoun w Bandoura | 2.20
    - Bacon w Kashkaval | 3.10
    - Pizza Khodra (Veggie) | 3.35
    - Pizza Mortadella | 4.45
    - Pizza Sojok | 4.45
    - Pizza Awarma | 5.00
    - Pizza Pepperoni | 5.00
    - Pizza Habash | 4.45
    - Pizza Margherita | 3.90
    - Mo3ajanat Dozen (12 pcs) | 2.75
    - Shamiyat | 6.65
    - Croissant | 0.65
    - Khobz (Bread) | 0.80
    - Kaak | 3.90
    - Kaak Al Abbas | 1.10

RESTAURANT: Foul w Trawiqa
    - Large Foul Plate (صحن فول كبير) | 3.35
    - Clay Pot Foul (صحن فول فخار) | 2.20
